song_id,mean_arousal,std_arousal,mean_valence,std_valence
2,3.1,0.99443,3,0.66667
3,3.5,1.8409,3.3,1.7029
4,5.7,1.4944,5.5,1.7159
5,4.4,2.1187,5.3,1.9465
7,5.8,1.5492,6.4,1.7764
8,3.2,1.4757,4.8,1.6193
10,4,1.7638,4.7,1.9465
12,5.5,2.0138,5.8,1.9889
13,3.2,1.4757,4,1.7638
17,4.4,1.8974,6,2.1602
18,4.8,1.8135,3.9,1.4491
19,5.9,1.7288,4.3,2.0028
20,5.4,2.6331,6.5,2.2236
21,6.6,0.96609,6.3,1.4944
22,4,1.4142,4.8,1.5492
24,5.3,1.7029,3.9,1.8529
25,7.9,0.73786,4.7,2.6687
31,4.7,1.6364,3.8,1.6193
32,4.2,1.8738,3.3,1.567
35,4.8,2.2509,6.5,2.2236
37,6.6,2.2211,5.3,2.1108
39,7.3,1.9465,5.4,2.5033
40,4.6,1.3499,4.8,1.6193
41,4.3,1.7029,5.1,1.3703
42,6.1,1.6633,5.1,2.0248
43,6.7,2.4518,3.5,1.5811
44,3.9,1.1005,4.9,1.6633
45,5.1,2.5582,2.1,1.4491
46,5.3,2.0575,4,1.8257
47,4.4,1.8379,4.4,1.6465
48,4.5,1.9579,4.8,1.8738
49,3.9,1.3703,5.3,1.2517
50,3.6,1.075,4.8,1.1353
51,3.6,1.1738,3.2,1.0328
52,4.6,1.1738,5.1,1.912
53,4.3,2.4967,5.1,1.792
54,3.1,1.6633,3.3,1.7029
55,5.8,1.3984,5.4,1.1738
56,6.4,1.5055,5.8,1.4757
58,3.3,1.6364,3.4,1.6465
59,5.3,1.8288,4.1,2.0248
60,4.3,1.567,6.4,0.5164
62,6.2,0.91894,3.9,1.2867
64,3.6,1.3499,4.9,1.6633
65,6.4,1.5055,5.8,1.9322
67,7.2,0.78881,6.8,1.4757
68,3.8,1.3984,4.9,1.7288
69,3.2,0.91894,3.9,0.8756
70,4.4,1.7764,3.6,1.5055
71,5.9,1.5951,3.7,0.82327
72,6.7,1.8288,5.6,2.1187
73,5.8,1.8135,5.6,1.8379
74,3,1.7638,4.3,1.4944
76,4.3,1.4944,3.2,1.9322
77,4.2,2.1499,2.9,1.1972
78,3.4,1.6465,3.9,2.0248
79,5.5,2.2236,5.5,1.4337
80,6,1.4142,5.1,1.4491
81,6.1,2.0248,3.9,1.792
82,2.9,1.5239,3.5,1.7159
83,6.1,1.1005,5.8,1.8135
84,5.9,2.1318,5.6,1.8379
85,7.1,1.1972,6.2,1.6865
86,5.4,1.7127,5.6,1.2649
87,5.3,2.5841,2.6,0.96609
88,6.7,1.8288,5.5,1.354
89,4.5,2.4152,4.8,2.1499
90,4.3,1.8288,4.2,1.8135
91,4.5,1.5092,5.5,1.2693
92,5.8,2.2998,4.7,1.8886
93,7.2,0.78881,6,1.8257
95,3.3,1.9465,4.6,2.319
96,6.8,1.3984,6.9,1.3703
98,4.3,1.8288,2.7,1.4944
99,4.3,1.9465,4.1,2.079
101,3.4,1.7127,2.8,0.91894
102,6.5,0.97183,5.4,1.6465
103,5.6,2.0111,3.3,1.8886
104,6.1,1.912,3.3,1.8886
105,6.5,1.5092,5,1.4907
106,4.6,1.5776,3.3,1.2517
107,6,2.1082,4.8,2.2509
108,4.5,1.7159,4.2,2.044
109,4.4,2.3664,4.5,1.5811
110,4.4,1.8974,2.8,0.91894
111,5.3,1.3375,5.3,1.4944
112,6.8,1.0328,6.4,1.6465
113,5.4,1.3499,3.8,0.91894
114,4.8,0.78881,5.7,0.94868
115,8.4,0.69921,7.8,1.2293
116,4.4,1.6465,3.9,1.2867
117,3.9,1.5239,5,1.8257
118,4.9,2.0248,4.6,1.9551
119,4.3,2.406,3.2,1.3166
120,3.8,1.6865,5,1.6997
121,3.1,0.8756,3.9,1.5951
122,5.5,2.0138,4.6,1.9551
123,6.1,1.6633,6.2,1.5492
124,3.7,1.3375,2.8,0.78881
125,4.5,1.9579,4.2,1.3984
126,5.1,1.7288,6.1,1.4491
127,3,1.9437,5.3,1.767
128,3.6,1.5055,4,1.633
129,4.2,1.8135,6,1.7638
130,3.3,1.4944,4.2,1.3984
131,6.1,1.1005,4.9,1.7288
133,2.8,2.0976,2.2,1.2293
134,5.4,1.8379,6,1.2472
135,3.7,2.3594,3.5,1.5092
136,6.8,1.3984,6.2,1.1353
137,4.3,1.767,5.8,1.3984
138,3.8,2.7809,2.4,0.96609
140,4.2,1.5492,4.5,2.1213
142,4.6,1.8974,4.8,1.8135
143,4,1.8257,4.9,1.5239
144,3.4,1.1738,4.7,0.94868
145,3.1,2.0248,5.4,2.0111
146,2.4,1.8974,3.5,2.0138
148,4.7,1.2517,5,2.1602
149,3.4,1.9551,3.1,2.0248
