,song_id_from_src,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q
0,1,PMEmo2019,Good Drank,2 Chainz,,0.4,0.15612494995999998,0.575,0.160078105936,relaxed,positive
1,4,PMEmo2019,X Bitch (feat. Future),21 Savage,,0.2625,0.152581945197,0.2875,0.158607219256,sad,negative
2,5,PMEmo2019,No Heart,21 Savage,,0.15,0.175,0.2,0.203100960116,sad,negative
3,6,PMEmo2019,Red Opps,21 Savage,,0.5125,0.171846588561,0.35,0.2,angry,negative
4,7,PMEmo2019,Girls Talk Boys,5 Seconds Of Summer,,0.7,0.139194109071,0.725,0.122474487139,happy,positive
5,8,PMEmo2019,PRBLMS,6LACK,,0.3875,0.246538536541,0.225,0.175,sad,negative
6,9,PMEmo2019,Timeless,A Boogie Wit Da Hoodie,,0.45,0.203100960116,0.2875,0.158607219256,sad,negative
7,10,PMEmo2019,Drowning,A Boogie Wit Da Hoodie,,0.4375,0.195655948031,0.425,0.139194109071,sad,negative
8,12,PMEmo2019,We The People....,A Tribe Called Quest,,0.6875,0.115244305716,0.575,0.12747548784,happy,positive
9,13,PMEmo2019,Weak,AJR,,0.825,0.139194109071,0.5875,0.216866894661,happy,positive
10,14,PMEmo2019,I’m Sorry,Adam Wakefield,,0.5625,0.160565407233,0.575,0.257390753525,happy,positive
11,15,PMEmo2019,Lonesome Broken and Blue (The Voice Performance),Adam Wakefield,,0.6125,0.1625,0.6625,0.1375,happy,positive
12,16,PMEmo2019,When I Call Your Name (The Voice Performance),Adam Wakefield,,0.5375,0.1375,0.575,0.169558249578,happy,positive
13,17,PMEmo2019,Hello,Adele,,0.825,0.139194109071,0.675,0.195256241898,happy,positive
14,18,PMEmo2019,Send My Love (To Your New Lover),Adele,,0.8,0.139194109071,0.8375,0.0976281209488,happy,positive
15,19,PMEmo2019,Water Under The Bridge,Adele,,0.7625,0.117924764151,0.75,0.136930639376,happy,positive
16,20,PMEmo2019,We're In This Love Together,Al Jarreau,,0.55,0.178535710714,0.6375,0.103832798286,happy,positive
17,21,PMEmo2019,Faded,Alan Walker,,0.8625,0.117924764151,0.775,0.15612494995999998,happy,positive
18,23,PMEmo2019,How Far I'll Go(Alessia Cara Version),Alessia Cara,,0.625,0.125,0.675,0.139194109071,happy,positive
19,25,PMEmo2019,Scars To Your Beautiful,Alessia Cara,,0.761363636364,0.13541335554300002,0.784090909091,0.151609818911,happy,positive
20,26,PMEmo2019,Wild Things(NuKid Remix),Alessia Cara,,0.825,0.12747548784,0.7625,0.0875,happy,positive
21,28,PMEmo2019,Not Easy,Alex Da Kid,,0.4875,0.171846588561,0.575,0.12747548784,relaxed,positive
22,29,PMEmo2019,Down That Road (The Voice Performance),Alisan Porter,,0.7,0.12747548784,0.675,0.160078105936,happy,positive
23,30,PMEmo2019,Somewhere (The Voice Performance),Alisan Porter,,0.6125,0.1625,0.5375,0.185825859341,happy,positive
24,31,PMEmo2019,Caroline,Amine,,0.625,0.185404962177,0.4375,0.21830311495700006,angry,negative
25,32,PMEmo2019,Rise Up,Andra Day,,0.575,0.12747548784,0.3875,0.152581945197,angry,negative
26,33,PMEmo2019,Fresh Eyes,Andy Grammer,,0.6375,0.1625,0.75,0.185404962177,happy,positive
27,34,PMEmo2019,It's the Most Wonderful Time of the Year,Andy Williams,,0.6875,0.21830311495700006,0.8375,0.1375,happy,positive
28,35,PMEmo2019,True Colors,Anna Kendrick,,0.3375,0.185825859341,0.625,0.230488611432,relaxed,positive
29,37,PMEmo2019,Alarm,Anne-Marie,,0.8,0.169558249578,0.75,0.14790199457699998,happy,positive
30,38,PMEmo2019,Ciao Adios,Anne-Marie,,0.8875,0.103832798286,0.8375,0.125623445264,happy,positive
31,39,PMEmo2019,Thief,Ansel Elgort,,0.875,0.159900537267,0.590909090909,0.12026142322999997,happy,positive
32,40,PMEmo2019,Beauty and the Beast,Ariana Grande,,0.375,0.167705098312,0.6625,0.209538182678,relaxed,positive
33,42,PMEmo2019,Dangerous Woman,Ariana Grande,,0.7625,0.171846588561,0.6,0.175,happy,positive
34,43,PMEmo2019,One Last Time,Ariana Grande,,0.8625,0.0673145600892,0.7875,0.17721808598400002,happy,positive
35,44,PMEmo2019,Forever Country,Artists Of Then,,0.6875,0.139754248594,0.675,0.275,happy,positive
36,46,PMEmo2019,Rolex,Ayo & Teo,,0.8375,0.125623445264,0.575,0.225,happy,positive
37,47,PMEmo2019,Suga Suga,Baby Bash,,0.4,0.15612494995999998,0.4625,0.168170300588,sad,negative
38,48,PMEmo2019,Do They Know It's Christmas?,Band Aid 20,,0.725,0.175,0.8375,0.148429276088,happy,positive
39,49,PMEmo2019,Good Grief,Bastille,,0.7875,0.0800390529679,0.7125,0.148429276088,happy,positive
40,50,PMEmo2019,Fight For Your Right,Beastie Boys,,0.8375,0.1375,0.5875,0.201943680268,happy,positive
41,51,PMEmo2019,I Got You,Bebe Rexha,,0.825,0.139194109071,0.7625,0.130503831361,happy,positive
42,52,PMEmo2019,Might Not,Belly,,0.5875,0.1125,0.4625,0.125623445264,angry,negative
43,54,PMEmo2019,Brand New,Ben Rector,,0.875,0.111803398875,0.775,0.134629120178,happy,positive
44,55,PMEmo2019,No Favors,Big Sean,,0.625,0.230488611432,0.4,0.272717802866,angry,negative
45,56,PMEmo2019,Blessings,Big Sean,,0.4125,0.148429276088,0.275,0.165831239518,sad,negative
46,57,PMEmo2019,Bounce Back,Big Sean,,0.525,0.261007662723,0.3625,0.152581945197,angry,negative
