,song_id_from_src,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q,lyrics,language,general_genre
231,305,PMEmo2019,Still Falling For You,Ellie Goulding,Pop,0.9375,0.0838525491562,0.75,0.167705098312,happy,positive,"[Verse 1: Ellie Goulding] Fire and ice This love is like fire and ice This love is like rain and blue skies This love is like sun on the rise This love got me rolling the dice Don't let me lose Still falling for you Still falling for you  [Verse 2: Ellie Goulding] Beautiful mind Your heart got a story with mine Your heart got me hurting at times Your heart gave me new kind of highs Your heart got me feeling so fine So what to do Still falling for you Still falling for you  [Pre-Chorus 1: Ellie Goulding] It took us a while With every breath a new day With love on the line We've had our share of mistakes But all your flaws and scars are mine Still falling for you Still falling for you  [Chorus: Ellie Goulding] And just like that All I breathe All I feel You are all for me I'm in And just like that All I breathe All I feel You are all for me No one can lift me, catch me the way that you do I'm still falling for you  [Breakdown: Jonas Blue]  [Post-Chorus: Ellie Goulding] Still falling for you Oh! Falling, crashing, falling, crashing Oh! I'm still falling Oh! Falling, crashing, falling, crashing Oh! Still falling for you  [Verse 3: Ellie Goulding] Brighter than gold This love shining brighter than gold This love is like letters in bold This love is like out of control This love is never growing old You make it new Still falling for you Still falling for you  [Pre-Chorus 2: Ellie Goulding] It took us a while Because we were young and unsure With love on the line What if we both would need more But all your flaws and scars are mine Still falling for you Still falling for you Still falling for you  [Chorus: Ellie Goulding] And just like that All I breathe All I feel You are all for me I'm in And just like that All I breathe All I feel You are all for me No one can lift me, catch me the way that you do I'm still falling for you  [Breakdown: Jonas Blue]  [Outro: Ellie Goulding] Still falling for you Oh! Falling, crashing, falling, crashing Oh! I'm still falling Oh! Falling, crashing, falling, crashing Oh! Still falling for you",en,Pop
1592,ML82,MoodyLyrics4Q,Girls & Boys,Good Charlotte,,,,,,happy,positive,"[Verse 1] Educated with money He's well dressed, not funny  [Pre-Chorus] And not much to say in most conversations But he'll foot the bill in all situations 'Cause he pays for everything  [Chorus] Girls don't like boys Girls like cars and money Boys will laugh at girls When they're not funny  [Verse 2] Paper or plastic Don't matter, she'll have it Vacations and shopping sprees These are a few of her favorite things  [Pre-Chorus] She'll get what she wants if she's willing to please His type of girl always comes with a fee Hey, now, there's nothing for free  [Chorus] Girls don't like boys Girls like cars and money Boys will laugh at girls When they're not funny  [Post-Chorus] And these girls like these boys, like these boys like these girls The girls with the bodies like boys with Ferraris Girls don't like boys Girls like cars and money  [Bridge] Let's go! Hey, hey!  [Guitar Solo]  [Chorus] Girls don't like boys Girls like cars and money Boys will laugh at girls When they're not funny  [Post Chorus] And these girls like these boys, like these boys like these girls The girls with the bodies like boys with Ferrari's Girls don't like boys Girls like cars and money  [Outro] All of these boys, yeah, and all of these girls Losing their souls in a material world All of these boys, yeah, and all of these girls Losing their souls in a material world All of these boys, yeah, and all of these girls Losing their souls in a material world All of these boys, yeah, and all of these girls Losing their souls in a material world...",en,
2083,ML573,MoodyLyrics4Q,The Promise,The Cure,Alternative Rock,,,,,angry,negative,"[Verse 1] How time will heal? Make me forget, you promised me Time will heal, make me forget, you promised me Love will save us all, and time will heal, you promised me You promised me, you promised me How love will save? Make me forget, you promised me Love will save, make me forget, you promised me Time will heal us all, and love will save, you promised me I trusted you, I wanted your words Believed in you, I needed your words Time will heal, make me forget And love, love will save us all  [Chorus] You promised me another wish, another way You promised me another dream, another day You promised me another time, you promised me another life You promised me You promised me You promised me  [Verse 2] So I swallowed the shame and I waited, buried the blame and I waited Choked back years of memories, I pushed down the pain, I waited Trying to forget Trying to forget Trying to forget Trying to forget Trying to forget  [Chorus] You promised me another wish, another way You promised me another dream, another day You promised me another time, you promised me another lie You promised me You promised me You promised me You promised me  [Outro] Here I waited, and I waited, and I waited And I waited, and I waited, and I waited And I'm still waiting",en,Rock
3474,ML1964,MoodyLyrics4Q,(Sic),Slipknot,Nu Metal,,,,,angry,negative,"[Intro] Pain (Here comes the pain!)  [Verse 1] Enemy, show me what you wanna be I can handle anything Even if I can't handle you Readily, either way, it better be Don't you fuckin' pity me Get up, get off What the hell am I sayin'? I don't know about malevolent Sure as hell decadent I want somebody to step up, step off Walls! Let me fall! Fuck you all! Get a grip, don't let me slip 'til I drop the ball  [Chorus] Fuck this shit, I'm sick of it You're goin' down, this is a war!  [Post-Chorus 1] Fuck it!  [Verse 2] Who the fuck am I to criticize your twisted state of mind? You're leavin' me suspect, I'm leavin' you grotesque Feels like a burn from which you never learn Cause and effect you jealous ass Press your face against the glass, suffer!  [Chorus] Fuck this shit, I'm sick of it You're goin' down, this is a war!  [Post-Chorus 2] Go!  [Bridge] I've just begun It's about that time, gotta get mine I've just begun It's about that time, gotta get mine I've just begun It's about that time, gotta get mine I've just begun It's about that time, gotta get mine You can't kill me 'Cause I'm already inside you You can't kill me 'Cause I'm already inside you You can't kill me 'Cause I'm already inside you You can't kill me 'Cause I'm already inside you  [Outro] Sick Sick Sick Sick Yeah!",en,Metal
1982,ML472,MoodyLyrics4Q,Gotta Serve Somebody,Bob Dylan,Folk,,,,,relaxed,positive,"[Verse 1] You may be an ambassador to England or France You may like to gamble, you might like to dance You may be the heavyweight champion of the world You may be a socialite with a long string of pearls  [Chorus] But you’re going to have to serve somebody, yes indeed You’re going to have to serve somebody Well, it may be the devil or it may be the Lord But you’re going to have to serve somebody  [Verse 2] You might be a rock ’n’ roll addict prancing on the stage You might have drugs at your command, women in a cage You may be a business man or some high-degree thief They may call you Doctor or they may call you Chief  [Chorus] But you’re going to have to serve somebody, yes indeed You’re going to have to serve somebody Well, it may be the devil or it may be the Lord But you’re going to have to serve somebody  [Verse 3] You may be a state trooper, you might be a young Turk You may be the head of some big TV network You may be rich or poor, you may be blind or lame You may be living in another country under another name  [Chorus] But you’re going to have to serve somebody, yes indeed You’re going to have to serve somebody Well, it may be the devil or it may be the Lord But you’re going to have to serve somebody  [Verse 4] You may be a construction worker working on a home You may be living in a mansion or you might live in a dome You might own guns and you might even own tanks You might be somebody’s landlord, you might even own banks  [Chorus] But you’re going to have to serve somebody, yes indeed You’re going to have to serve somebody Well, it may be the devil or it may be the Lord But you’re going to have to serve somebody  [Verse 5] You may be a preacher with your spiritual pride You may be a city councilman taking bribes on the side You may be working in a barbershop You may know how to cut hair You may be somebody’s mistress, may be somebody’s heir  [Chorus] But you’re going to have to serve somebody, yes indeed You’re going to have to serve somebody Well, it may be the devil or it may be the Lord But you’re going to have to serve somebody  [Verse 6] Might like to wear cotton, might like to wear silk Might like to drink whiskey, might like to drink milk You might like to eat caviar, you might like to eat bread You may be sleeping on the floor, sleeping in a king-sized bed  [Chorus] But you’re going to have to serve somebody, yes indeed You’re going to have to serve somebody Well, it may be the devil or it may be the Lord But you’re going to have to serve somebody  [Verse 7] You may call me Terry, you may call me Timmy You may call me Bobby, you may call me Zimmy You may call me R.J., you may call me Ray You may call me anything but no matter what you say  [Chorus] You're still gonna have to serve somebody, yes indeed You’re going to have to serve somebody Well, it may be the devil or it may be the Lord But you’re going to have to serve somebody",en,Country
3008,ML1498,MoodyLyrics4Q,Multiply,Jamie Lidell,Soul,,,,,happy,positive,Well sure it never used to be So hard This hard Used to get those kicks for free But now I'm toeing the line  This ain't no way to be Stuck between my shadow and me Put it where the sun don't shine Although I'll tell you that I'm doing fine  I'm so tired of repeatin' myself Beatin' myself up Gonna take a trip and multiply Wanna 'least go under with a smile  I'm so tired of repeatin' myself Beatin' myself up Gonna take a trip and multiply Wanna 'least go under with a smile  Sure never used to be In trouble So much trouble Love is just a shackle I see Goin' out of my mind  This ain't no way to be Stuck between my shadow and me The sun's going down It's getting dark in here Still folks see I got nothing to fear  I'm so tired of repeatin' myself Beatin' myself up Gonna take a trip and multiply Wanna 'least go under with a smile  I'm so tired of repeatin' myself Beatin' myself up Gonna take a trip and multiply Wanna 'least go under with a smile  People on the street There are many many People on the moon There ain't any any Shame... yeah ...ooh Runnin' down the same old cold Takin' it down 'cause I got no control  I'm so tired… Soooooo  I'm so tired of repeatin' myself Beatin' myself up Wanna take a trip and multiply Wanna 'least go under with a smile  I'm so tired of repeatin' myself Beatin' myself up Wanna take a trip and multiply Wanna 'least go under with a smile,en,Jazz
2483,ML973,MoodyLyrics4Q,Sea Ghost,The Unicorns,Indie,,,,,happy,positive,"I dove into that freezing sea With the parasite attached to me I had hoped the salt below Would divorce what was wed above  But league after league It yet remained For the fleshy vessel I Kept it sustained  And so we froze a while surrounded by one big tear Which only reminded me of a former home  But we weren't welcome The sea made that clear By filling us with saline And sailing us blue blue back into The atmosphere  ""You choked as you surfaced, tangled in seaweed""  But what remained? Of the driving intent? That led me to tract such watery depths Many things have betrayed me Between there and here And my memory is so fucking unclear  Who was I with? What time was it? Where did you go?",en,Pop
3285,ML1775,MoodyLyrics4Q,New Jack Hustler,Ice T,,,,,,angry,negative,"[Verse 1] Hustler, word, I pull the trigger long Grit my teeth, spray till every nigga's gone Got my block sewn, armored dope spots Last thing I sweat's a sucka punk cop Move like a king when I roll, hops You try to flex, bang, another nigga drops You gotta deal with this cause there's no way out Why? Cash money ain't never gonna play out I got nothin to lose, much to gain In my brain, I got a capitalist migraine I gotta get paid tonight, you muthafuckin right Pickin' my grip, check my bitch, keep my game tight So many hoes on my jock, think I'm a movie star Nineteen, I got a fifty thousand dollar car Go to school, I ain't goin for it Kiss my ass, bust the cap on the Moet Cause I don't wanna hear that crap Why? I'd rather be a New Jack... Hustler  [Chorus] Hustler Hustler Hustler H-U-S-T-L-E-R hustler  [Interlude: Kid drop in] Yo man you know what I'm sayin? You got it goin on my man, I like how it's goin down You got the fly cars, the girls, the jewels Look at that ring right there I know it's real, it's gotta be real Man, you the flyest nigga I seen in my life! Yo man, I just wanna roll with you man How can I be down?  [Verse 2: Ice-T] What's up? You say you wanna be down? Ease back, or motherfucker get beat down Out my face, fool I'm the illest Bulletproof, I die harder than Bruce Willis Got my crew in effect, I bought em new Jags So much cash, gotta keep it in Hefty bags All I think about is keys and Gs Imagine that, me workin at Mickey D's  (ha ha ha ha) That's a joke cause I'm never gonna be broke When I die there'll be bullets and gun smoke Ya don't like my lifestyle? Fuck you! I'm rollin with the New Jack crew And I'm a hustler  [Chorus] H-U-S-T-L-E-R hustler New Jack, New Jack..........  [Verse 3: Ice-T] Here I come, so you better break North As I stride, my gold chains glide back and forth I care nothing 'bout you, and that's evident All I love's my dope and dead presidents Sound crazy? Well it isn't The ends justifies the means, that's the system I learned that in school then I dropped out Hit the streets, checked a grip, and now I got clout I had nothing, and I wanted it You had everything, and you flaunted it Turned the needy into the greedy With cocaine, my success came speedy Got me twisted, jammed into a paradox Every dollar I get, another brother drops Maybe that's the plan, and I don't understand God damn----you got me sinkin in quicksand But since I don't know, and I ain't never learned I gotta get paid, I got money to earn With my posse, out on the ave Bump my sounds, crack a forty and laugh Cool out and watch my new Benz gleam Is this a nightmare? Or the American dream? So think twice if you're coming down my block You wanna journey through hell? Well shit gets hot Pregnant teens, children's screams Life is weighed on the scales of a triple beam You don't come here much, and ya better not Wrong move (bang), ambulance cot I gotta get more money than you got So what, if some motherfucker gets shot? That's how the game is played Another brother slayed, the wound is deep But they're givin us a band aid My education's low but I got long dough I'm raised like a pit bull, my heart pumps nitro Sleep on silk, lie like a politician My Uzi's my best friend, cold as a mortician Lock me up, it's genocidal catastrophe There'll be another one after me! A hustler, hustler  [Chorus] H-U-S-T-L-E-R hustler New Jack, New Jack......",en,
2577,ML1067,MoodyLyrics4Q,The Tigers Have Spoken,Neko Case,,,,,,sad,negative,They shot the tiger on his chain In a field behind the cages He walked in circles 'til he was crazy And he lived that way forever And he lived that way beside them Separate from the other tigers He did not know another tiger  They shot the tiger on his chain In a field behind the cages He walked in circles 'til he was crazy And he lived that way forever And he lived that way forever Just as long as he could remember If he'd wanted to remember  It was the last time he had felt alive When he saw that brown-haired lady She fed him with a bottle as a baby And he recalled her face and smile They shot that tiger on his chain  They shot the tiger on his chain They shot the tiger on his chain They shot the tiger on his chain They shot the tiger on his chain,en,
2503,ML993,MoodyLyrics4Q,Bad,Michael Jackson,Pop,,,,,happy,positive,"[Verse 1] Your butt is mine, gon' tell you right Just show your face in broad daylight I'm tellin' you on how I feel Gon' hurt your mind, don't shoot to kill Shamone, Shamone Lay it on me, all right I'm givin' you on count of three To show your stuff or let it be I'm tellin' you just watch your mouth I know your game what you're about  [Pre-Chorus] Well they say the sky's the limit And to me that's really true But my friend you have seen nothin' Just wait til I get through  [Chorus] Because I'm bad, I'm bad (Shamone, really, really bad) You know I'm bad, I'm bad You know it (Really, really bad) You know I'm bad, I'm bad (Shamone) You know (Really, really bad) And the whole world has to answer right now Just to tell you once again: Who's bad?  [Verse 2] The word is out, you're doin' wrong Gon' lock you up before too long Your lyin' eyes gon' tell you right So listen up, don't make a fight Your talk is cheap, you're not a man You're throwin' stones to hide your hands  [Pre-Chorus] Well they say the sky's the limit And to me that's really true But my friend you have seen nothin' Just wait til I get through  [Chorus] Because I'm bad, I'm bad (Shamone, really, really bad) You know I'm bad, I'm bad You know it (Really, really bad) You know I'm bad, I'm bad (Shamone) You know (Really, really bad) And the whole world has to answer right now Just to tell you once again: Who's bad?  [Organ Solo]  [Pre-Chorus] We can change the world tomorrow This could be a better place If you don't like what I'm sayin' Then won't you slap my face?  [Chorus] Because I'm bad, I'm bad (Shamone, really, really bad) You know I'm bad, I'm bad You know it (Really, really bad) You know I'm bad, I'm bad You know it, you know (Really, really bad) And the whole world has to answer right now Just to tell you once again You know I'm bad, I'm bad (Shamone, really, really bad) You know I'm bad, I'm bad  You know it (Really, really bad) You know it, you know, you know, you know (Really, really bad) You know, shamone And the whole world has to answer right now Just to tell you once again You know I move, I'm bad, you know it (really, really bad) You know I'm bad, I'm bad (Really, really bad) You know, you know, you know (Really, really bad) Shamone, You know (Really, really bad) And the whole world has to answer right now Just to tell you once again You know I'm bad, I'm bad, you know it (really, really bad) You know I'm bad You know, woo! (Really, really bad) You know I'm bad, I'm bad, you know it (really, really bad) You know And the whole world has to answer right now Just to tell you once again: Who's bad?",en,Pop
